ID,Source,loc_key,score_Expert,label_Expert,score_EWM,label_EWM,score_CRITIC,label_CRITIC,score_AHP,label_AHP,score_Multiplicative,label_Multiplicative,score_MeanDev,label_MeanDev
2775.0,4-5,location4,0.38585432690806826,高风险,0.3333184030973696,中风险,0.38832949438821995,高风险,0.30897945583791114,中风险,0.3329339482299867,中风险,0.3435424511078336,中风险
2781.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
2782.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
2783.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
2785.0,4-5,location4,0.22642232536945256,中风险,0.09073908506544413,低风险,0.38391485365181655,高风险,0.480759181270794,高风险,0.29727399038058205,中风险,0.3184710399960182,中风险
2787.0,4-5,location4,0.2708961499428192,中风险,0.11725569581859993,低风险,0.4463858179441263,高风险,0.5503621602469628,高风险,0.34721533013511174,中风险,0.3713345580032297,高风险
2799.0,4-5,location4,0.11259332965541986,低风险,0.04512194502346144,低风险,0.19090984780895223,低风险,0.23906775488401186,中风险,0.14782583096560092,低风险,0.15836651590547518,低风险
2801.0,4-5,location4,0.1789516769084905,低风险,0.07171515179480666,低风险,0.3034250564248429,中风险,0.37996545410079297,高风险,0.23494891236136345,中风险,0.25170188744014754,中风险
2805.0,4-5,location4,0.1707924610489884,低风险,0.06844533385289374,低风险,0.289590536540361,中风险,0.3626411115032802,高风险,0.22423652941514557,中风险,0.24022566063217832,中风险
2807.0,4-5,location4,0.24283829408676136,中风险,0.09731780904701716,低风险,0.4117492742080709,高风险,0.5156149653345906,高风险,0.31882681437262633,中风险,0.3415606828632263,中风险
2811.0,4-5,location4,0.24738289673803548,中风险,0.09913906534711805,低风险,0.4194549651505285,高风险,0.5252644530618392,高风险,0.3247935058754806,中风险,0.34795282785316195,中风险
2836.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
2840.0,4-5,location4,0.2696470814408731,中风险,0.10806147061950953,低风险,0.4572054440307357,高风险,0.5725376678030656,高风险,0.3540245590341449,高风险,0.37926819415110363,高风险
2853.0,4-5,location4,0.11429495992180116,低风险,0.045803875894187926,低风险,0.193795080674666,低风险,0.24268080131110878,中风险,0.1500599323008564,低风险,0.16075991929332092,低风险
2868.0,4-5,location4,0.1945339498779288,低风险,0.07795977096025221,低风险,0.3298458876607351,中风险,0.41305106428919475,高风险,0.25540716203822744,中风险,0.27361890763672736,中风险
2891.0,4-5,location4,0.2875928628803269,中风险,0.1821315560557722,低风险,0.3807158607313285,高风险,0.47820032224979553,高风险,0.33482612508486187,中风险,0.3470159130122987,中风险
2898.0,4-5,location4,0.17654620258056536,低风险,0.07075115436518839,低风险,0.29934640683469443,中风险,0.37485794596715716,高风险,0.231790721352356,中风险,0.24831850238901332,中风险
2904.0,4-5,location4,0.021093491793728644,低风险,0.022202207008426088,低风险,0.015304911155951765,低风险,0.005522773635313505,低风险,0.014331754095501945,低风险,0.014343297266563788,低风险
2928.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
2935.0,4-5,location4,0.20134058843962746,中风险,0.1555991228921802,低风险,0.22990700333479314,中风险,0.21356855375383546,中风险,0.19153899669426092,低风险,0.19969155999360297,低风险
2938.0,4-5,location4,0.1282306681090366,低风险,0.058009763454650594,低风险,0.20683888366398387,中风险,0.2591582312766049,中风险,0.1641230432850488,低风险,0.1746689594650798,低风险
2942.0,4-5,location4,0.36885235534251753,高风险,0.23532433326643745,中风险,0.4855192805553701,高风险,0.6098872391024839,高风险,0.42832438121709027,高风险,0.44357695097476385,高风险
2953.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
2956.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
2971.0,4-5,location4,0.15458392782529307,低风险,0.06194973995520209,低风险,0.26210783733951126,中风险,0.3282257721611487,中风险,0.2029560512566335,中风险,0.21742778315195402,中风险
2984.0,4-5,location4,0.033046806209951235,低风险,0.03478381102643327,低风险,0.023977937743888986,低风险,0.00865243326483744,低风险,0.022453309526663596,低风险,0.0224713940117199,低风险
2995.0,4-5,location4,0.16501638094308146,低风险,0.06613056112357249,低风险,0.2797967896343432,中风险,0.35037684587426465,高风险,0.21665300875728152,中风险,0.23210139887739345,中风险
3002.0,4-5,location4,0.10108674873160581,低风险,0.04051066553255994,低风险,0.17139963686049225,低风险,0.2146360014554018,中风险,0.13271863152633231,低风险,0.142182101282818,低风险
3008.0,4-5,location4,0.08648673335533748,低风险,0.034659687564630566,低风险,0.14664429192112552,低风险,0.18363600431562,低风险,0.11355000571419455,低风险,0.12164666126712538,低风险
3021.0,4-5,location4,0.2122614443313617,中风险,0.1181286330076981,低风险,0.307044010221655,中风险,0.3852127479474234,高风险,0.25754153126377693,中风险,0.2701284637255922,中风险
3023.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3025.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3027.0,4-5,location4,0.06817929025016578,低风险,0.07176292719215877,低风险,0.049469191263291676,低风险,0.01785094617572764,低风险,0.04632371121038109,低风险,0.04636102154372603,低风险
3038.0,4-5,location4,0.28784614840843514,中风险,0.2644069502137776,中风险,0.2662505490432892,中风险,0.18551139480830878,低风险,0.2330582979976408,中风险,0.23872296468845855,中风险
3044.0,4-5,location4,0.2538255124459846,中风险,0.16084843169932295,低风险,0.33585213133858094,中风险,0.4218517961309028,高风险,0.29544796821673,中风险,0.3061841197229356,中风险
3046.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3047.0,4-5,location4,0.06268822174097984,低风险,0.0251223984908496,低风险,0.10629225468871477,低风险,0.13310497589113385,低风险,0.0823045068386972,低风险,0.08817320969023275,低风险
3050.0,4-5,location4,0.3135485861068014,中风险,0.1256550641835835,低风险,0.5316435088788599,高风险,0.6657530846366705,高风险,0.4116636432298281,高风险,0.441017219233038,高风险
3052.0,4-5,location4,0.056380074551524446,低风险,0.022594399083126188,低风险,0.09559635091199023,低风险,0.11971098007738279,低风险,0.07402242562670709,低风险,0.07930057669083307,低风险
3057.0,4-5,location4,0.20446370659892546,中风险,0.11121382476539303,低风险,0.30006151793413227,中风险,0.3747330731971145,高风险,0.24918449134371748,中风险,0.2620028052988799,中风险
3058.0,4-5,location4,0.1820530397484699,低风险,0.07295802758497671,低风险,0.3086836335500848,中风险,0.38655053204016704,高风险,0.23902074805845905,中风险,0.2560640643917429,中风险
3072.0,4-5,location4,0.22968661581261685,中风险,0.13694563929933426,低风险,0.31767091236795625,中风险,0.3987763937462719,高风险,0.2728531860584464,中风险,0.28446431513785414,中风险
3075.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3083.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3106.0,4-5,location4,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险,0.0,低风险
3112.0,4-5,location4,0.20847057005093916,中风险,0.2194281912495709,中风险,0.1512610422428426,低风险,0.05458251195557912,低风险,0.14164316535811614,低风险,0.14175724848266422,低风险
