where,curve_idx,direction,a5,a4,a3,a2,a1,a0
4-3,0,1,4.3783460506331434e-13,-4.4869575768375335e-10,7.29880801461251e-08,1.5005839705563144e-05,0.0036967376447176476,10.471110338559125
4-3,1,1,4.3783460506331434e-13,-4.4869575768375335e-10,7.29880801461251e-08,1.5005839705563144e-05,0.0036967376447176476,14.321110338559125
4-3,2,1,2.215255001136938e-12,-2.4952343464433484e-09,9.299298912608276e-07,-0.00013978255705630923,0.014020963278014954,18.06449051319596
4-3,3,1,2.215255001136938e-12,-2.4952343464433484e-09,9.299298912608276e-07,-0.00013978255705630923,0.014020963278014954,21.91449051319596
4-3,4,2,1.8168398944294073e-13,-1.315134836092607e-10,-7.162152415489125e-08,4.3888958836821455e-05,0.0010305590335582093,26.388371135145782
4-3,5,2,1.8168398944294073e-13,-1.315134836092607e-10,-7.162152415489125e-08,4.3888958836821455e-05,0.0010305590335582093,30.238371135145783
4-3,6,2,2.4813646264830087e-13,-1.891554894462143e-10,-6.037191983751991e-08,4.676001007132924e-05,-0.00024261915325781984,34.12672710014711
4-3,7,2,2.4813646264830087e-13,-1.891554894462143e-10,-6.037191983751991e-08,4.676001007132924e-05,-0.00024261915325781984,37.97672710014711
4-4,0,1,2.8384977980491827e-13,-2.8154487419269307e-10,5.905537526749798e-09,2.703781233061867e-05,0.0007149713568859678,10.351925935003225
4-4,1,1,2.8384977980491827e-13,-2.8154487419269307e-10,5.905537526749798e-09,2.703781233061867e-05,0.0007149713568859678,14.201925935003224
4-4,2,1,-9.213252563065116e-13,9.672759038687758e-10,-4.3976510531424367e-07,8.879482923565022e-05,-0.0017276109931589775,18.011758208382243
4-4,3,1,-9.213252563065116e-13,9.672759038687758e-10,-4.3976510531424367e-07,8.879482923565022e-05,-0.0017276109931589775,21.861758208382245
4-4,4,2,-1.1153482813193132e-14,1.0765382030369164e-10,-1.7491733794412604e-07,6.204791190307075e-05,-0.0017995548536865124,26.213885298825307
4-4,5,2,-1.1153482813193132e-14,1.0765382030369164e-10,-1.7491733794412604e-07,6.204791190307075e-05,-0.0017995548536865124,30.06388529882531
4-4,6,2,-8.08227151980495e-14,1.62983638100743e-10,-1.8976322092040896e-07,6.524075228702474e-05,-0.0025179835137343247,33.897358728181736
4-4,7,2,-8.08227151980495e-14,1.62983638100743e-10,-1.8976322092040896e-07,6.524075228702474e-05,-0.0025179835137343247,37.74735872818174
4-5,0,1,-3.662335175587874e-13,4.057556423247245e-10,-2.515827251295785e-07,7.464775363338083e-05,-0.012708579881381068,12.406374520699062
4-5,1,1,-3.662335175587874e-13,4.057556423247245e-10,-2.515827251295785e-07,7.464775363338083e-05,-0.012708579881381068,16.25637452069906
4-5,2,1,-2.2403336394626777e-13,3.551708422637696e-10,-2.6565795633853176e-07,8.201288343104537e-05,-0.013232625759667913,19.95959658291422
4-5,3,1,-2.2403336394626777e-13,3.551708422637696e-10,-2.6565795633853176e-07,8.201288343104537e-05,-0.013232625759667913,23.80959658291422
4-5,4,2,2.3167669180504765e-13,-1.4722473199667758e-10,-9.454388404139244e-08,6.37479619002212e-05,-0.013023984224198938,28.100575625875084
4-5,5,2,2.3167669180504765e-13,-1.4722473199667758e-10,-9.454388404139244e-08,6.37479619002212e-05,-0.013023984224198938,31.950575625875086
4-5,6,2,-4.453838475745655e-13,4.958640659657742e-10,-3.0483436242494034e-07,9.264582929543136e-05,-0.01451484937267032,35.671905452690936
4-5,7,2,-4.453838475745655e-13,4.958640659657742e-10,-3.0483436242494034e-07,9.264582929543136e-05,-0.01451484937267032,39.52190545269094
